Question Type,Technology,Difficulty,Question 
Coding,C++,Intermediate,Implement a C++ function to sort an array using the bubble sort algorithm.
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
MCQs,C++,Beginner,Which operator is used to allocate memory dynamically in C++?
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
True/False,Go,Hard,Go was developed by Google.
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
Coding,React,Intermediate,Build a React component that displays a list of items.
True/False,React,Hard,React uses a virtual DOM to improve performance.
True/False,Python,Beginner,Python supports multiple inheritance.
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
MCQs,Ruby,Hard,What is a block in Ruby?
True/False,React,Beginner,React uses a virtual DOM to improve performance.
Coding,Angular,Beginner,Create a simple Angular form with validation.
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
Coding,Angular,Beginner,Create a simple Angular form with validation.
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
True/False,Ruby,Intermediate,Ruby is known for its performance in highly concurrent systems.
MCQs,Angular,Hard,What is the role of decorators in Angular?
Essay,Java,Beginner,Discuss the advantages and disadvantages of using Java in enterprise applications.
True/False,React,Intermediate,React uses a virtual DOM to improve performance.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
Coding,TypeScript,Beginner,Create a TypeScript function that checks if a string is a palindrome.
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
MCQs,C++,Intermediate,Which operator is used to allocate memory dynamically in C++?
True/False,React,Hard,React uses a virtual DOM to improve performance.
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
MCQs,React,Beginner,Which hook is used to manage state in functional components?
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
MCQs,Java,Hard,What is the purpose of the 'final' keyword in Java?
True/False,React,Beginner,React uses a virtual DOM to improve performance.
Coding,Go,Beginner,Write a Go program to handle concurrent tasks using Goroutines.
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
Coding,Java,Intermediate,Write a Java program to check if a number is prime.
MCQs,Python,Intermediate,Which of the following is the correct way to define a function in Python?
True/False,React,Beginner,React uses a virtual DOM to improve performance.
True/False,Angular,Intermediate,Angular is primarily used for backend development.
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
MCQs,Angular,Hard,What is the role of decorators in Angular?
Coding,C++,Hard,Implement a C++ function to sort an array using the bubble sort algorithm.
True/False,Java,Intermediate,"In Java, strings are mutable."
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
Essay,JavaScript,Intermediate,Explain the concept of closures in JavaScript and their use cases.
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
MCQs,Ruby,Intermediate,What is a block in Ruby?
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
Coding,Go,Beginner,Write a Go program to handle concurrent tasks using Goroutines.
True/False,C++,Hard,C++ allows function overloading.
MCQs,Python,Beginner,Which of the following is the correct way to define a function in Python?
Coding,Angular,Intermediate,Create a simple Angular form with validation.
Coding,React,Beginner,Build a React component that displays a list of items.
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
MCQs,Python,Beginner,Which of the following is the correct way to define a function in Python?
Coding,C++,Beginner,Implement a C++ function to sort an array using the bubble sort algorithm.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
True/False,Python,Hard,Python supports multiple inheritance.
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
True/False,Go,Beginner,Go was developed by Google.
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
True/False,Angular,Intermediate,Angular is primarily used for backend development.
True/False,Ruby,Beginner,Ruby is known for its performance in highly concurrent systems.
True/False,C++,Intermediate,C++ allows function overloading.
True/False,C++,Hard,C++ allows function overloading.
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
True/False,Ruby,Intermediate,Ruby is known for its performance in highly concurrent systems.
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
True/False,JavaScript,Intermediate,JavaScript is a statically typed language.
True/False,Angular,Intermediate,Angular is primarily used for backend development.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
MCQs,JavaScript,Beginner,What is 'this' keyword in JavaScript?
MCQs,Java,Intermediate,What is the purpose of the 'final' keyword in Java?
Coding,Angular,Hard,Create a simple Angular form with validation.
Coding,Ruby,Intermediate,Write a Ruby method to calculate the Fibonacci sequence.
Coding,Go,Beginner,Write a Go program to handle concurrent tasks using Goroutines.
True/False,Node.js,Beginner,"Node.js uses an event-driven, non-blocking I/O model."
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
MCQs,Angular,Hard,What is the role of decorators in Angular?
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
Essay,Python,Intermediate,Discuss the importance of Python's standard library in development.
Essay,Ruby,Hard,Discuss the pros and cons of using Ruby on Rails for web development.
True/False,C++,Beginner,C++ allows function overloading.
Essay,Ruby,Intermediate,Discuss the pros and cons of using Ruby on Rails for web development.
Essay,Node.js,Hard,Explain how Node.js handles asynchronous operations.
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
Essay,Node.js,Intermediate,Explain how Node.js handles asynchronous operations.
True/False,Go,Intermediate,Go was developed by Google.
MCQs,Go,Intermediate,What is the purpose of Goroutines in Go?
MCQs,Python,Beginner,Which of the following is the correct way to define a function in Python?
Essay,Node.js,Intermediate,Explain how Node.js handles asynchronous operations.
Coding,Java,Intermediate,Write a Java program to check if a number is prime.
Essay,C++,Hard,Explain the differences between stack and heap memory in C++.
MCQs,React,Beginner,Which hook is used to manage state in functional components?
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
Essay,Ruby,Hard,Discuss the pros and cons of using Ruby on Rails for web development.
True/False,Go,Beginner,Go was developed by Google.
True/False,Python,Intermediate,Python supports multiple inheritance.
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
Coding,Angular,Beginner,Create a simple Angular form with validation.
True/False,JavaScript,Hard,JavaScript is a statically typed language.
MCQs,React,Beginner,Which hook is used to manage state in functional components?
Coding,TypeScript,Beginner,Create a TypeScript function that checks if a string is a palindrome.
MCQs,JavaScript,Hard,What is 'this' keyword in JavaScript?
MCQs,React,Beginner,Which hook is used to manage state in functional components?
True/False,Go,Beginner,Go was developed by Google.
Coding,Angular,Intermediate,Create a simple Angular form with validation.
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
MCQs,Java,Hard,What is the purpose of the 'final' keyword in Java?
Essay,React,Hard,Explain how React's component lifecycle works and its significance.
MCQs,Angular,Intermediate,What is the role of decorators in Angular?
Coding,Angular,Hard,Create a simple Angular form with validation.
Essay,JavaScript,Intermediate,Explain the concept of closures in JavaScript and their use cases.
